,restaurantID,name,location,reviewCount,rating,categories,address,Hours,GoodforKids,AcceptsCreditCards,Parking,Attire,GoodforGroups,PriceRange,TakesReservations,Delivery,Takeout,WaiterService,OutdoorSeating,WiFi,GoodFor,Alcohol,NoiseLevel,Ambience,HasTV,Caters,WheelchairAccessible,webSite,phoneNumber,filReviewCount
0,pbEiXam9YJL3neCYHGwLUA,Alinea,"Alinea - Lincoln Park - Chicago, IL",841,4.5,"Restaurants, American (New)","1723 N Halsted St (between Willow St & Concord Pl) Chicago, IL 60614 Neighborhood: Lincoln Park",Wed-Sun 5 pm - 6:30 pm Wed-Sun 8 pm - 9:30 pm,No,Yes,Valet,Formal (Jacket Required),No,$$$$,Yes,No,No,Yes,No,No,Dinner,Full Bar,Quiet,"Classy, Upscale",No,No,Yes,http://www.alinearestaurant.com,(312) 867-0110,136
1,HOJqzz1WvOmeR9oESJ4d9A,Hot Doug's,"Hot Doug's - Avondale - Chicago, IL",2122,4.5,"Restaurants, Fast Food, Hot Dogs","3324 N California Ave (between Henderson St & Roscoe St) Chicago, IL 60618 Neighborhood: Avondale",Mon-Sat 10:30 am - 4 pm,Yes,No,Street,Casual,Yes,$,No,No,Yes,No,Yes,No,Lunch,No,Average,Casual,No,No,Yes,http://www.hotdougs.com,(773) 279-9550,234
2,AkfSndWBxnTn-LpmiL8aLA,Tru,"Tru - Near North Side - Chicago, IL",403,4.5,"Restaurants, American (New)","676 N St. Clair St (between Erie St & Huron St) Chicago, IL 60611 Neighborhoods: Near North Side, River East",Mon-Thu 6 pm - 9:30 pm Fri 6 pm - 10 pm Sat 5 pm - 10:30 pm,No,Yes,Valet,Formal (Jacket Required),No,$$$$,Yes,No,No,Yes,No,No,Dinner,Full Bar,Quiet,"Classy, Upscale",No,No,Yes,http://www.TRUrestaurant.com,(312) 202-0001,52
3,WBU0yq9J8qiYQfI_fh2P1Q,Crisp,"Crisp - Lakeview - Chicago, IL",1026,4.0,"Restaurants, Korean, Chicken Wings","2940 N Broadway Ave (between Oakdale Ave & Wellington Ave) Chicago, IL 60657 Neighborhood: Lakeview",Tue-Sun 11:30 am - 9 pm,Yes,Yes,Street,Casual,Yes,$,No,Yes,Yes,No,No,No,"Lunch, Dinner",No,Average,Casual,Yes,No,Yes,http://www.crisponline.com,(773) 697-7610,99
4,bNXpwTSavHBV9zBk2lUlGA,Schwa,"Schwa - Wicker Park - Chicago, IL",288,4.5,"Restaurants, American (New)","1466 N Ashland Ave (between Julian St & Le Moyne St) Chicago, IL 60622 Neighborhood: Wicker Park",Tue-Sat 5:30 pm - 10:30 pm,No,Yes,Street,Casual,No,$$$$,Yes,No,No,Yes,No,No,Dinner,No,Very Loud,Hipster,No,No,Yes,http://www.schwarestaurant.com,(773) 252-1466,55
5,t3pYu8eidmb2ZmexHRHT_Q,Green Mill,"Green Mill - Uptown - Chicago, IL",404,4.5,"Arts & Entertainment, Jazz & Blues, Nightlife, Bars, Lounges, Restaurants, American (New)","4802 N Broadway St (between Gunnison St & Racine Ave) Chicago, IL 60640 Neighborhood: Uptown",Mon-Fri 12 pm - 4 am Sat 12 pm - 5 am Sun 11 am - 4 am,No,Yes,Street,Casual,Yes,$$,No,No,No,Yes,No,,,Full Bar,Loud,"Casual, Intimate",No,,Yes,http://www.greenmilljazz.com,(773) 878-5552,65
6,boE4Ahsssqic7o5wQLI04w,The Purple Pig,"The Purple Pig - Near North Side - Chicago, IL",1312,4.0,"Restaurants, Modern European","500 N Michigan Ave (between Illinois St & Grand Ave) Chicago, IL 60611 Neighborhood: Near North Side","Mon-Thu, Sun 11:30 am - 12 am Fri-Sat 11:30 am - 2 am",No,Yes,Street,Casual,Yes,$$,No,No,No,Yes,Yes,No,Dinner,Full Bar,Loud,Trendy,No,No,Yes,http://thepurplepigchicago.com,(312) 464-1744,118
7,IuFEm-19YYh49T5ZlvwkDA,90 Miles Cuban Café,"90 Miles Cuban Café - Roscoe Village - Chicago, IL",458,4.5,"Restaurants, Cuban, Sandwiches","3101 N Clybourn Ave (between Barry Ave & Oakley Ave) Chicago, IL 60618 Neighborhood: Roscoe Village","Mon-Thu, Sun 8 am - 8 pm Fri-Sat 8 am - 9 pm",Yes,Yes,"Street, Private Lot",Casual,No,$,No,Yes,Yes,No,Yes,Free,Lunch,No,Average,Casual,No,Yes,Yes,http://www.90milescubancafe.com,(773) 248-2822,61
8,oEFJ29zAQaCNnQzebHQvpg,Violet Hour,"Violet Hour - Wicker Park - Chicago, IL",1114,4.0,"Nightlife, Bars, Lounges, Restaurants, American (New)","1520 N Damen Ave (between Wicker Park Ave & Pierce Ave) Chicago, IL 60622 Neighborhood: Wicker Park","Mon-Fri, Sun 6 pm - 2 am Sat 6 pm - 3 am",No,Yes,Street,Dressy,No,$$$,No,No,No,Yes,No,No,Late Night,Full Bar,Average,"Romantic, Classy, Intimate",No,No,Yes,http://www.theviolethour.com/,(773) 252-1500,108
9,jGiKIJCVLZHXQDSNnSLPsw,XOCO,"XOCO - Near North Side - Chicago, IL",1461,4.0,"Restaurants, Mexican","449 N Clark St Chicago, IL 60654 Neighborhood: Near North Side",Tue-Thu 8 am - 9 pm Fri-Sat 8 am - 10 pm,Yes,Yes,Street,Casual,No,$$,No,No,Yes,No,No,No,Lunch,Beer & Wine Only,Average,Casual,No,No,Yes,http://www.rickbayless.com,(312) 334-3688,128
